Exp or Imp,Year,Country,Value-Year,Value-Jan,Value-Feb,Value-Mar,Value-Apr,Value-May,Value-Jun,Value-Jul,Value-Aug,Value-Sep,Value-Oct,Value-Nov,Value-Dec
1,2023,215,570841740,51686003,57063211,53310014,74965707,60478659,67561131,67957911,59420821,78398283,0,0,0
1,2023,217,69612143,5749369,5331686,7153952,6971570,9735954,8682170,6869981,7724821,11392640,0,0,0
1,2023,218,322971559,28062593,29832243,38005213,36185688,33760340,40928321,39844585,37870627,38481949,0,0,0
1,2023,219,14980011,1069839,1330149,1795681,1645374,1561636,2139818,2586842,1042218,1808454,0,0,0
1,2023,220,625731392,54599075,62480099,71149590,75908154,66265839,76129746,76085761,66396129,76716999,0,0,0
1,2023,221,15544421,1343657,1088420,1574965,4109003,1316178,1579291,1607792,1263832,1661283,0,0,0
1,2023,222,47275756,5076375,5459997,5620446,5774077,4977050,6090968,5248773,3545421,5482649,0,0,0
1,2023,223,426201411,37318240,50619030,37266097,41230592,39155247,52834462,63419563,51690708,52667472,0,0,0
1,2023,224,330944945,43733117,33754586,41528445,33809375,35564208,51518516,50934668,23317615,16784415,0,0,0
1,2023,225,165030623,15827394,16656189,17386915,17799334,18214889,21668073,18901669,17860175,20715985,0,0,0
1,2023,227,175248540,17073168,20220457,21538840,19681243,17694702,20833320,22015258,16098256,20093296,0,0,0
1,2023,228,5424754,534501,354036,963441,844549,284295,553599,325734,959788,604811,0,0,0
1,2023,229,412385,64390,44647,31929,68835,17404,37376,44576,43630,59598,0,0,0
1,2023,230,46690022,6770479,3250920,7412459,4730713,5709371,4198710,3161404,5593036,5862930,0,0,0
1,2023,231,51577671,3756294,4682327,5947557,7430650,4855230,6626683,6500878,5587816,6190236,0,0,0
1,2023,232,14638931,1867257,1703582,2332294,1302164,1551543,1647212,1595615,1238916,1400348,0,0,0
1,2023,233,70482741,7029692,2934665,5341976,13687215,3715022,14174976,5427441,4525360,13646394,0,0,0
1,2023,234,414698559,32386193,39024902,49369641,48557213,41021279,48144074,52897397,50713919,52583941,0,0,0
1,2023,235,25841733,1413831,3104523,3037362,2924382,2022899,3284390,2866469,3627835,3560042,0,0,0
1,2023,236,3072070,358350,335040,288893,317394,411301,408332,364716,330972,257072,0,0,0
1,2023,237,10144195,898810,832776,1165077,1590838,1113491,1010415,1389193,1099419,1044176,0,0,0
1,2023,238,50922034,8511016,6123050,7812639,7051185,3028869,3962078,3635208,4517684,6280305,0,0,0
1,2023,239,1389707,133718,188234,135633,319529,40685,132572,16632,245670,177034,0,0,0
1,2023,240,486167,37903,35065,64406,102064,34253,61889,21660,40209,88718,0,0,0
1,2023,241,13297815,1610232,971359,3603539,1699996,1167852,1276840,986603,1435403,545991,0,0,0
1,2023,242,23731936,1836461,2283877,2484699,3366597,2742229,3386785,2598429,2210870,2821989,0,0,0
1,2023,243,239526,23719,32014,24145,14819,7801,46814,27211,37700,25303,0,0,0
1,2023,244,1356750,86615,100421,231191,79544,170981,155902,178006,169890,184200,0,0,0
1,2023,245,227529887,22307865,22974805,24582337,28614891,21014721,25144448,31191894,24980325,26718601,0,0,0
1,2023,246,16488214,1414498,1516669,1916456,1836754,1847998,1991562,2278491,1584057,2101729,0,0,0
1,2023,247,292722,23204,34126,17923,21404,19255,30542,47692,38591,59985,0,0,0
1,2023,248,136702,6584,13846,5650,12480,47101,16261,18447,13839,2494,0,0,0
1,2023,249,320,0,0,0,320,0,0,0,0,0,0,0,0
1,2023,301,1595,0,0,0,0,500,846,0,0,249,0,0,0
1,2023,302,1100149157,76771500,109727658,125620738,142411492,97254614,134141512,124778013,136697808,152745822,0,0,0
1,2023,304,14440027686,1231101930,1455991752,1677499512,1657040435,1373862363,1738826475,1791253581,1618063767,1896387871,0,0,0
1,2023,305,1359186610,123363492,132660530,161352625,154428367,140514896,171031062,163021309,145212096,167602233,0,0,0
1,2023,306,44489145,2084583,4664009,6258426,5171342,3468455,5645420,4785849,6364735,6046326,0,0,0
1,2023,307,18398038,1185748,2219037,2461445,2680627,1699190,2319464,1566691,2448639,1817197,0,0,0
